产品名,分类,杯型,售价,物料成本,毛利率,卡路里,是否含奶,适合场景,卖点话术,当前状态
冰美式,经典,"中,大",18,4.2,76.7%,5,否,"减脂,熬夜,上班,夏季",0糖0奶 提神不长肉,在售
海盐冰美式,经典,"中,大",22,5.8,73.6%,8,否,"减脂,熬夜,上班,夏季",一点海盐打开美式新世界,在售
拿铁,经典,"中,大",26,6.8,73.8%,180,是,"上班,冬季",醇厚奶香 经典不出错,在售
燕麦拿铁,经典,"中,大",28,8.2,70.7%,160,是,"减脂,上班,乳糖不耐",醇厚无负担 乳糖不耐友好,在售
澳白,经典,中,28,7.5,73.2%,150,是,"上班,咖啡爱好者",咖啡感更浓的拿铁,在售
卡布奇诺,经典,中,26,6.5,75.0%,140,是,"上班,冬季",厚奶泡的经典意式,在售
摩卡,创意,"中,大",30,9.5,68.3%,280,是,"学生,女生,冬季",巧克力咖啡 甜党最爱,在售
生椰拿铁,创意,"中,大",30,10.2,66.0%,210,是,"夏季,女生",椰香醇厚 网红必点,在售
焦糖玛奇朵,创意,"中,大",32,10.8,66.3%,260,是,"女生,学生",焦糖+奶+咖啡 甜系少女,在售
SOE手冲(单一产地),手冲,中,38,12.0,68.4%,5,否,"咖啡爱好者,周末",当季豆 风味卡片附赠,在售
桂花拿铁,季节限定,"中,大",30,9.0,70.0%,170,是,"秋季,女生",当季桂花蜜 一年一次,下架
草莓奶咖,季节限定,"中,大",32,11.0,65.6%,220,是,"春季,女生",草莓季限定 颜值高,试销
